subject,ROI,adjacency_rho,functional_rho
sub-55,PPC,0.33173567897971135,0.31051447443627417
sub-56,M1,0.5496904476672124,0.6178277687237208
sub-56,SMA,0.8082245681714839,0.5239264843581122
sub-56,PMC,0.49227787013540514,0.6199618888229392
sub-56,PPC,0.2721510723233832,0.34892863622220505
sub-57,M1,0.6569343856904319,0.6284983692198127
sub-57,SMA,0.5099256067721375,0.31051447443627417
sub-57,PMC,0.5468501018889927,0.607157168227629
sub-57,PPC,0.37488387293413616,0.4748417220760895
sub-58,M1,0.7016698316973912,0.6349007295174679
sub-58,SMA,0.4649604269154692,0.36813571711517046
sub-58,PMC,0.5038481022025646,0.6349007295174679
sub-58,PPC,0.3335108950910986,0.5239264843581122
sub-59,M1,0.6240615602866252,0.6263642491205944
sub-59,SMA,0.5574387438710322,0.45776876128234245
sub-59,PMC,0.6229755457243648,0.6050230481284106
sub-59,PPC,0.36907787200512837,0.40228163870266453
sub-60,M1,0.7666427413741654,0.6391689697159048
sub-60,SMA,0.46573316804630843,0.37240395731360726
sub-60,PMC,0.46819758570682257,0.5922183275331002
sub-60,PPC,0.455395144809406,0.5345970848542041
sub-61,M1,0.7057632712012959,0.6220960089221576
sub-61,SMA,0.5728726815923874,0.5538041657471695
sub-61,PMC,0.7352736284411809,0.6349007295174679
sub-61,PPC,0.44261358880741763,0.4449640406870321
sub-62,M1,0.4852187754807123,0.6306324893190312
sub-62,SMA,0.5145829384526006,0.6050230481284106
sub-62,PMC,0.6113844287617772,0.6284983692198127
sub-62,PPC,0.34819297657704273,0.47697584217530786
sub-63,M1,0.7097105164372042,0.6028889280291923
sub-63,SMA,0.5927342171444968,0.29344151364252713
sub-63,PMC,0.5098629520858532,0.5836818471362267
sub-63,PPC,0.5924000588176475,0.4086839990003197
sub-65,M1,0.6729113306929174,0.5964865677315371
sub-65,SMA,-0.009210238883785742,-0.018140020843356225
sub-65,PMC,0.4632269805949381,0.5196582441596754
sub-65,PPC,0.17042074669317833,0.26783207245190666
sub-66,M1,0.536157035429813,0.6413030898151231
sub-66,SMA,0.1460063039377463,0.25502735185659636
sub-66,PMC,0.47776286781288574,0.6349007295174679
sub-66,PPC,0.30101399780499744,0.3958792784050094
sub-67,M1,0.4788697672705742,0.585815967235445
sub-67,SMA,0.3578417982648183,0.3275874352300212
sub-67,PMC,0.43593042227043033,0.5772794868385717
sub-67,PPC,0.22541067635532766,0.1867355086816082
sub-68,M1,0.5844011438686907,0.6306324893190312
sub-68,SMA,0.28752235535845416,0.2806367930472169
sub-68,PMC,0.46771723311197655,0.607157168227629
sub-68,PPC,0.22386519409364933,0.2614297121542515
