subject,ROI,adjacency_rho,functional_rho
sub-48,PPC,0.2526863497844074,0.5712875825865441
sub-49,M1,0.823407887147702,0.5759227759543863
sub-49,SMA,0.2505352055553146,0.23755366010190984
sub-49,PMC,0.6504600681077254,0.5620171958508599
sub-49,PPC,0.2765160154678531,0.5457940190634123
sub-50,M1,0.6810564399098707,0.5828755660061495
sub-50,SMA,0.5313952792722095,0.4994420853849909
sub-50,PMC,0.5476646128106882,0.504077278752833
sub-50,PPC,0.284535815312238,0.29317598051601557
sub-51,M1,0.6592734939783774,0.5805579693222285
sub-51,SMA,0.5605088234989608,0.35343349429796345
sub-51,PMC,0.5520504408505861,0.5643347925347809
sub-51,PPC,0.40723457595224066,0.5087124721206752
sub-52,M1,0.11002162911515484,-0.06373390880782946
sub-52,SMA,0.048599151661155145,-0.09618026238272447
sub-52,PMC,0.08953354670020289,-0.10313305243448767
sub-52,PPC,0.16511598325444457,0.09386266569880339
sub-53,M1,0.7722190084534644,0.5643347925347809
sub-53,SMA,0.529077055879692,0.3209871407230684
sub-53,PMC,0.7221996839031993,0.5179828588563594
sub-53,PPC,0.4278270828443331,0.36502147771756877
sub-54,M1,0.6639099407634125,0.5805579693222285
sub-54,SMA,0.6428788510673302,0.47163092517793803
sub-54,PMC,0.580077970515077,0.5388412290116491
sub-54,PPC,0.5814563736133306,0.4530901517065695
sub-55,M1,0.6294498633070713,0.5249356489081227
sub-55,SMA,0.5618454568063582,0.27927040041248913
sub-55,PMC,0.4488372876449872,0.43223178155127984
sub-55,PPC,0.33173567897971135,0.307081560619542
sub-56,M1,0.5496904476672124,0.5875107593739917
sub-56,SMA,0.8082245681714839,0.5272532455920438
sub-56,PMC,0.49227787013540514,0.568969985902623
sub-56,PPC,0.2721510723233832,0.4924892953332277
sub-57,M1,0.6569343856904319,0.568969985902623
sub-57,SMA,0.5099256067721375,0.3881974445567795
sub-57,PMC,0.5468501018889927,0.5736051792704652
sub-57,PPC,0.37488387293413616,0.504077278752833
sub-58,M1,0.7016698316973912,0.5527468091151755
sub-58,SMA,0.4649604269154692,0.3580686876658055
sub-58,PMC,0.5038481022025646,0.40905581471206914
sub-58,PPC,0.3335108950910986,0.3464807042462002
sub-59,M1,0.6240615602866252,0.5851931626900706
sub-59,SMA,0.5574387438710322,0.39515023460854265
sub-59,PMC,0.6229755457243648,0.5736051792704652
sub-59,PPC,0.36907787200512837,0.4113734113959902
sub-60,M1,0.7666427413741654,0.5736051792704652
sub-60,SMA,0.46573316804630843,0.374291864453253
sub-60,PMC,0.46819758570682257,0.5596995991669388
sub-60,PPC,0.455395144809406,0.5573820024830177
sub-61,M1,0.7057632712012959,0.5828755660061495
sub-61,SMA,0.5728726815923874,0.4600429417583327
sub-61,PMC,0.7352736284411809,0.5620171958508599
sub-61,PPC,0.44261358880741763,0.45540774839049053
sub-62,M1,0.4852187754807123,0.5712875825865441
sub-62,SMA,0.5145829384526006,0.5527468091151755
sub-62,PMC,0.6113844287617772,0.568969985902623
